impound_no,Animal_ID,Data_Source,Record_Type,Link,location,name,animal_type,Age,Animal_Gender,breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,picture,image_alt_text,Description ,Temperament
K19-116932,A584257,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Unaltered,Crow,Black,05/05/2019 12:00:00 AM,Received on,11700 157TH AVE NE,REDMOND,WA,98052,REDMOND,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 11700 157TH AVE NE, REDMOND WA 98052<p/> Description: Black Unaltered Crow Bird<p/> Age: NO AGE<p/>",
K19-116933,A584258,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584258,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,10 YEARS,Spayed Female,Jack Russell Terrier,Tricolor,05/05/2019 12:00:00 AM,Received on,15300 SE 307TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584258,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 15300 SE 307TH ST, KENT WA 98042<p/> Description: Tricolor Spayed Female Jack Russell Terrier Dog<p/> Age: 10 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116936,A584261,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584261,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Pulsar,Cat,8 MONTHS,Neutered Male,Domestic Mediumhair,Gray / White,05/05/2019 12:00:00 AM,Received on,3400 S 262ND ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584261,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 3400 S 262ND ST, KENT WA 98032<p/> Description: Gray / White Neutered Male Domestic Mediumhair Cat<p/> Age: 8 MONTHS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116949,A584270,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584270,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Huckleberry,Cat,9 WEEKS,Neutered Male,Domestic Shorthair,Black / White,05/05/2019 12:00:00 AM,Received on,34700 54TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584270,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 34700 54TH AVE S, AUBURN WA 98001<p/> Description: Black / White Neutered Male Domestic Shorthair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116947,A584268,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584268,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Strawberry,Cat,1 YEAR,Spayed Female,Domestic Shorthair,Brn Tabby,05/05/2019 12:00:00 AM,Received on,34700 54TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584268,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 34700 54TH AVE S, AUBURN WA 98001<p/> Description: Brn Tabby Spayed Female Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",BLUE
K19-116942,A584265,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584265,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gunner,Dog,NO AGE,Male,Chihuahua - Smooth Coated,Tan,05/05/2019 12:00:00 AM,Received on,400 SOUTH FORK AVE SW,NORTH BEND,WA,98045,NORTH BEND,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584265,Image Copyright HLP Inc. 2019,"Received on: 2019-05-05<p/> Found Near: 400 SOUTH FORK AVE SW, NORTH BEND WA 98045<p/> Description: Tan Male Chihuahua - Smooth Coated Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116963,A584316,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Louie,Cat,6 WEEKS,Male,Domestic Shorthair,Brn Tabby / White,05/06/2019 12:00:00 AM,Received on,11000 SE 319TH CT AUBURN,,WA,98092,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584316,Image Copyright HLP Inc. 2019,"Received on: 2019-05-06<p/> Found Near: 11000 SE 319TH CT AUBURN, WA 98092<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>",
K19-116960,A584308,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584308,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Rowdy,Dog,4 YEARS,Neutered Male,Formosan Mountain Dog / Pit Bull,Br Brindle,05/06/2019 12:00:00 AM,Received on,800 S 96TH ST,SEATTLE,WA,98108,KING COUNTY,47.517143,-122.323086,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584308,Image Copyright HLP Inc. 2019,"Received on: 2019-05-06<p/> Found Near: 800 S 96TH ST, SEATTLE WA 98108<p/> Description: Br Brindle Neutered Male Formosan Mountain Dog / Pit Bull Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116997,A571472,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A571472,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Cayde,Cat,11 MONTHS,Neutered Male,Domestic Shorthair,Black / White,05/07/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A571472,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Description: Black / White<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 11 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Cayde and I am available for adoption.<p/><p/>I was brought in by my previous owner on 5/7/19 because they had too many pets. I lived in a home with other cats. My previous owner described me as playful and sweet.<p/><p/>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p/><p/>My personality color is GREEN. I am an adaptable cat who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p/><p/>",GREEN
K19-117004,A581917,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A581917,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kramer,Cat,10 WEEKS,Neutered Male,Domestic Shorthair,Org Tabby,05/07/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A581917,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Description: Org Tabby<p/>  Neutered Male Domestic Shorthair Cat<p/> Age: 10 WEEKS<p/> Adoption Fee: $100.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",GREEN
K19-117001,A581939,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A581939,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Elaine,Cat,9 MONTHS,Spayed Female,Domestic Mediumhair,Org Tabby,05/07/2019 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A581939,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Description: Org Tabby<p/>  Spayed Female Domestic Mediumhair Cat<p/> Age: 9 MONTHS<p/> Adoption Fee: $30.00<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/><p/>",BLUE
K19-116989,A584440,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584440,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,NO AGE,Neutered Male,Domestic Longhair,Brn Tabby / White,05/07/2019 12:00:00 AM,Received on,13500 52ND AVE S,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584440,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 13500 52ND AVE S, TUKWILA WA 98168<p/> Description: Brn Tabby / White Neutered Male Domestic Longhair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116984,A584414,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584414,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Kirk,Cat,1 YEAR,Male,Domestic Shorthair,Buff / White,05/07/2019 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584414,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Buff / White Male Domestic Shorthair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116983,A584412,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584412,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,4 YEARS,Male,Pit Bull,Tan,05/07/2019 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584412,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 21600 64TH AVE S, KENT WA 98032<p/> Description: Tan Male Pit Bull Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116992,A584443,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Mediumhair,Brn Tabby,05/07/2019 12:00:00 AM,Received on,22100 109TH PL SE,KENT,WA,98031,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 22100 109TH PL SE, KENT WA 98031<p/> Description: Brn Tabby Unaltered Domestic Mediumhair Cat<p/> Age: NO AGE<p/>",
K19-116990,A556175,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A556175,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Odin,Cat,2 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,05/07/2019 12:00:00 AM,Received on,30000 45TH PL S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A556175,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 30000 45TH PL S, AUBURN WA 98001<p/> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p/> Age: 2 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116988,A584439,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584439,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Worf,Cat,1 YEAR,Unaltered,Domestic Longhair,Brn Tabby / White,05/07/2019 12:00:00 AM,Received on,36000 51ST AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584439,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 36000 51ST AVE S, AUBURN WA 98001<p/> Description: Brn Tabby / White Unaltered Domestic Longhair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K19-116985,A584415,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Cat,NO AGE,Unaltered,Domestic Longhair,Black / White,05/07/2019 12:00:00 AM,Received on,5200 S 212TH ST,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 5200 S 212TH ST, KENT WA 98032<p/> Description: Black / White Unaltered Domestic Longhair Cat<p/> Age: NO AGE<p/>",
K19-116998,A584451,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A584451,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Karla,Dog,4 YEARS,Spayed Female,St Bernard - Smooth Coated / Mix,White / Tan,05/07/2019 12:00:00 AM,Received on,900 130TH AVE NE,BELLEVUE,WA,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A584451,Image Copyright HLP Inc. 2019,"Received on: 2019-05-07<p/> Found Near: 900 130TH AVE NE, BELLEVUE WA 98005<p/> Description: White / Tan Spayed Female St Bernard - Smooth Coated / Mix Dog<p/> Age: 4 YEARS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
